Pole Index,Optimized Pole,Optimized Residue,Temperature,Integral Difference,Violations
0,(87.27542610868164+0.0017353152774669438j),(-1326.3635367927293-2.231761060401134j),0,92.06159219031491,0
1,(188.12230053999053+0.0046505495665166395j),(-5480.182982055579-2.1976319294532995j),2068.9655172413795,70.38507905815524,0
2,(225.52079320549242+2.2552079320549243j),(-33167.82368477639-6279.951218773753j),0,0.0033003911181680983,0
3,(227.0070701693574+0.13491870257469749j),(-181.91887042326198-367.2098159556022j),689.6551724137931,0.6591514592503692,0
4,(227.76368291404086+2.2776368291404085j),(-2246140.684428473-2293780.2721891073j),0,0.3343920417059113,0
5,(228.29193052820898+2.28291930528209j),(11037659.110726718+3720256.197366345j),0,0.6071165785240689,0
6,(228.820189266982+2.2882018926698198j),(-13699125.68159419+16891.761654237514j),0,0.3200906912018704,0
7,(228.95075322735346+1.4203163778061505j),(594519.4154658442+126261.2029240765j),0,0.002860521195277726,0
8,(342.68060681676764+0.022628949576159407j),(-35998.50281209999+258.5880782744867j),1724.1379310344828,163.47589896719137,0
9,(378.32525570070436+0.015592364105378204j),(-13561.624021666346+380.16778014715976j),7241.379310344828,136.35929884759446,0
10,(435.9587120970695+0.01572751749892778j),(-6945.47867605718+3.9354981306169416j),1724.1379310344828,27.417645841913952,0
11,(486.0535640737892+0.7291178207894733j),(-22499.601473845967+12184.988623074638j),0,0.032113932810679854,0
12,(486.52850841689406+0.034123925358746525j),(-91749.09943175125+222.09198848404756j),1724.1379310344828,243.90445157760908,0
13,(487.45737769035264+4.890779053163624j),(-366454.0506067268+984799.9378152934j),0,0.00012488804731737493,0
14,(492.4777107978787+0.35683405144568053j),(-8483.339817277685-30879.421618868742j),1379.3103448275863,1.8933637934878271,0
15,(492.91996941451873+0.16719927133647258j),(-112841.98874097978-151324.8478644027j),0,278.1819949091799,0
16,(493.4278151363761+0.43574356757461685j),(-17640.702394383028+26188.45208750373j),0,1.53434129929193,1
17,(546.1871802734577+0.932503059267141j),(-557231.6701806446-1538539.1242474304j),0,15.332806581491482,1
18,(547.0150930176501+5.470150930176501j),(-192146.28113867727-145040.3554122812j),0,9.003722793365586e-05,0
19,(547.0809993866626+0.07289237948362036j),(-1728.4083876473517-2977.750236312725j),1034.4827586206898,5.973205306587915,0
20,(547.1836795861407+0.06052399299209571j),(-116760.21829315786-3166.0850860324417j),0,415.8842888876752,0
21,(547.3071863101032+0.05436081131568741j),(-301.7233000097942+1663.2318105280692j),1724.1379310344828,6.53392781682206,0
22,(552.449084083325+0.035179223916241356j),(-16822.25479690593+81.6649764118043j),1724.1379310344828,37.922173903550174,0
23,(656.3620694941692+0.1863081006651039j),(1584.3388277017489+2335.003132313792j),0,1.1696290997132566,1
